Firma,Nazwisko lub nazwa,Nazwisko drugi człon,Imię pierwsze,Imię drugie,Funkcja
ATLAS WARD POLSKA SP Z O O,ZAJĄCZKOWSKI,,RAFAŁ,PIOTR,CZŁONEK ZARZĄDU A
ATLAS WARD POLSKA SP Z O O,GRYCZ,,ARKADIUSZ,STEFAN,CZŁONEK ZARZĄDU A
ATLAS WARD POLSKA SP Z O O,ŚLĘZAK,,TOMASZ,,CZŁONEK ZARZĄDU B
ATLAS WARD POLSKA SP Z O O,MUSKAŁA,,MICHAŁ,JERZY,CZŁONEK ZARZĄDU B
TRISTONE FLOWTECH POLAND SP Z O O,PROCE,,ROBERT,,PREZES ZARZĄDU
TRISTONE FLOWTECH POLAND SP Z O O,PILARSKI,,MAREK,,CZŁONEK ZARZĄDU
SPARTANK SP Z O O,MATUSZEWSKI,,PAWEŁ,STANISŁAW,PREZES ZARZĄDU
CONTROL NET SP Z O O,MAŁKOWSKI,,MARCIN,TADEUSZ,PREZES ZARZĄDU
CONTROL NET SP Z O O,PACZUSKI,,ANDRZEJ,JAN,WICEPREZES ZARZĄDU
J CHODACKI A MISZTAL MEDICA SPÓŁKA JAWNA,CHODACKI,,JAROSŁAW,,
J CHODACKI A MISZTAL MEDICA SPÓŁKA JAWNA,MISZTAL,,ARLETA,TERESA,
CENTRUM BADAWCZO ROZWOJOWE NOVASOME SP Z O O,HAN,,TOMASZ,MARCIN,PREZES ZARZĄDU
AMERICAN TRADING COMPANY SP Z O O,JANKIEWICZ,,JERZY,WOJCIECH,PREZES ZARZĄDU
AMERICAN TRADING COMPANY SP Z O O,DUBIEC,,PRZEMYSŁAW,,CZŁONEK ZARZĄDU
AMERICAN TRADING COMPANY SP Z O O,GALUBA,,TOMASZ,MARCIN,CZŁONEK ZARZĄDU
TEVEMA AUTOMOTIVE SP Z O O,BEYERS,,JURGEN,,WICEPREZES ZARZĄDU
TEVEMA AUTOMOTIVE SP Z O O,HOOIJEN,,INGEBORG,MARIA,PREZES ZARZĄDU
DST TRANSPORT & LOGISTICS SP Z O O,BIEDRZYŃSKI,,DARIUSZ,KRZYSZTOF,PREZES ZARZĄDU
EKO CYKL ORGANIZACJA ODZYSKU OPAKOWAŃ S A,MICHNIEWSKA,,KATARZYNA,JADWIGA,PREZES ZARZĄDU
OERLIKON BALZERS COATING POLAND SP Z O O,SCHMITZ,,WOLFGANG,JOSEF,CZŁONEK ZARZĄDU
OERLIKON BALZERS COATING POLAND SP Z O O,BARTSCH,,MARTIN,,PREZES ZARZĄDU
WOJ KAT SP Z O O,KATULSKI,,JAN,,CZŁONEK ZARZĄDU
WOJ KAT SP Z O O,WOJDAK,,BOGUSŁAW,,PREZES ZARZĄDU
KANCELARIA ADWOKATÓW I RADCÓW PRAWNYCH A ŁEBEK I WSPÓLNICY SPÓŁKA KOMANDYTOWA,ŁEBEK,,ANDRZEJ,,
KANCELARIA ADWOKATÓW I RADCÓW PRAWNYCH A ŁEBEK I WSPÓLNICY SPÓŁKA KOMANDYTOWA,ŁEBEK,,ANIELA,,
KANCELARIA ADWOKATÓW I RADCÓW PRAWNYCH A ŁEBEK I WSPÓLNICY SPÓŁKA KOMANDYTOWA,MADEJ,,AGNIESZKA,,
HYDRAULIK SERVICES SP Z O O,PAWLUK,,KONRAD,MICHAŁ,PREZES ZARZĄDU
HYDRAULIK SERVICES SP Z O O,PAWLUK,,ŁUKASZ,WOJCIECH,WICEPREZES ZARZĄDU
LAKFAM JERZY ZAKRZEWSKI ARTUR ZAKRZEWSKI SPÓŁKA JAWNA,ZAKRZEWSKI,,JERZY,,
LAKFAM JERZY ZAKRZEWSKI ARTUR ZAKRZEWSKI SPÓŁKA JAWNA,ZAKRZEWSKI,,ARTUR,,
PRIME PROJECT SP Z O O,KĘDZIOR,,BARTŁOMIEJ,PAWEŁ,PREZES ZARZĄDU
PRIME PROJECT SP Z O O,PACZEŚNIAK,,URSZULA,ALINA,WICEPREZES ZARZĄDU
PRIME PROJECT SP Z O O,KOMAROWSKI,,MAREK,WOJCIECH,WICEPREZES ZARZĄDU
PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE BAS POL SP Z O O,NOWAK,,PAWEŁ,BARTŁOMIEJ,PREZES ZARZĄDU
PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE BAS POL SP Z O O,OSIP,,TOMASZ,RYSZARD,ZASTĘPCA PREZESA ZARZĄDU
PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWO USŁUGOWE BAS POL SP Z O O,ZAOR,,KATARZYNA,MONIKA,ZASTĘPCA PREZESA ZARZĄDU
KORBANK S A,BIŁYK,,TYMOTEUSZ,MAREK,PREZES ZARZĄDU
KORBANK S A,PALUCHOWSKI,,PAWEŁ,WOJCIECH,WICEPREZES ZARZĄDU
SECOM SP Z O O,LEWICKI,,TOMASZ,,PREZES ZARZĄDU
JELENIOGÓRSKIE KOPALNIE SUROWCÓW MINERALNYCH LIPIŃSKI SPÓŁKA JAWNA,JAKUBOWSKI,,ZDZISŁAW,JAN,
JELENIOGÓRSKIE KOPALNIE SUROWCÓW MINERALNYCH LIPIŃSKI SPÓŁKA JAWNA,ZIĘTECKI,,PAWEŁ,KONRAD,
JELENIOGÓRSKIE KOPALNIE SUROWCÓW MINERALNYCH LIPIŃSKI SPÓŁKA JAWNA,LIPIŃSKI,,LECH,,
PIAST BUSINESS SERVICE SP Z O O,KOZICA,,ELŻBIETA,ANNA,ZASTĘPCA PREZESA ZARZĄDU DS. FINANSOWYCH
PIAST BUSINESS SERVICE SP Z O O,KOZICA,,ZBIGNIEW,JÓZEF,ZASTĘPCA PREZESA ZARZĄDU DS. STRATEGII I ROZWOJU
PIAST BUSINESS SERVICE SP Z O O,HAŁUCHA,,PRZEMYSŁAW,,PREZES ZARZĄDU
PIAST BUSINESS SERVICE SP Z O O,BILIŃSKI,,KRZYSZTOF,PIOTR,CZŁONEK ZARZĄDU
PIAST BUSINESS SERVICE SP Z O O,BURZMIŃSKI,,LUDWIK,,ZASTĘPCA PREZESA ZARZĄDU DS. USŁUG OCHRONY
PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI W BOLESŁAWCU SP Z O O,KRÓL,,JÓZEF,,PREZES ZARZĄDU
PRZEDSIĘBIORSTWO PRODUKCYJNO USŁUGOWE I HANDLOWE OMEGA SPÓŁKA JAWNA RYCHTER TWARDZICKI,RYCHTER,,STANISŁAW,,
PRZEDSIĘBIORSTWO PRODUKCYJNO USŁUGOWE I HANDLOWE OMEGA SPÓŁKA JAWNA RYCHTER TWARDZICKI,TWARDZICKI,,MIROSŁAW,,
INWEST TERMA OŚMIAŁOWSKI SPÓŁKA JAWNA,OŚMIAŁOWSKI,,JANUSZ,EDWARD,
INWEST TERMA OŚMIAŁOWSKI SPÓŁKA JAWNA,OŚMIAŁOWSKI,,MACIEJ,PIOTR,
ASPA ELECTRO SP Z O O,SOBKÓW,,JANUSZ,,WICEPREZES ZARZĄDU
ASPA ELECTRO SP Z O O,ZIÓŁKOWSKA,,PATRYCJA,,PREZES ZARZĄDU
UZDROWISKO CIEPLICE SP Z O O GRUPA PGU,KULCZYCKI,,ROMAN,,PREZES ZARZĄDU
UZDROWISKO CIEPLICE SP Z O O GRUPA PGU,ZEMBIK,,WOJCIECH,BOLESŁAW,WICEPREZES ZARZĄDU
P P SOMET SPÓŁKA JAWNA J P M SOBKOWIAK,SOBKOWIAK,,PAWEŁ,,
P P SOMET SPÓŁKA JAWNA J P M SOBKOWIAK,SOBKOWIAK,,MARIUSZ,,
AGENCJA ANTICORR WROCŁAW SP Z O O,URBAN,,PIOTR,,PREZES
SEGEPO REFA SP Z O O,CHAPEAUX,,PHILIPPE,,PREZES
KUDRYCKI MEDIA SERVICE SPÓŁKA KOMANDYTOWA,KUDRYCKI,,KRZYSZTOF,ZBIGNIEW,
KUDRYCKI MEDIA SERVICE SPÓŁKA KOMANDYTOWA,RODZIEWICZ,,ROBERT,,
DROMADER SPEDYCYJNO TRANSPORTOWA SP Z O O,BASTA,,ANNA,MARIA,PREZES
DROMADER SPEDYCYJNO TRANSPORTOWA SP Z O O,BASTA,,ANNA,MARIA,PREZES
ZAKŁAD GOSPODARKI I USŁUG KOMUNALNYCH SP Z O O,BARAN,,JACEK,,PREZES ZARZĄDU
THERMOPATCH POLSKA SP Z O O,BAUSCH,,JAN,,CZŁONEK ZARZĄDU
THERMOPATCH POLSKA SP Z O O,HUYTON,,STEPHEN,,CZŁONEK ZARZĄDU
THERMOPATCH POLSKA SP Z O O,SKRZYŃSKI,,WITOLD,,PREZES ZARZĄDU
INKOPAX T SP Z O O,MYCEK,,TYMOTEUSZ,,PREZES ZARZĄDU
NEDCON SILESIA SP Z O O,GERBER,,MARIOLA,EWA,PREZES ZARZĄDU
PHU DOMAGAŁA SPÓŁKA JAWNA,DOMAGAŁA,,BOGDAN,,
PHU DOMAGAŁA SPÓŁKA JAWNA,DOMAGAŁA,,DANUTA,,
WALTER SCHMIDT CEMENT POLSKA SP Z O O,SCHMIDT,,WALTER,,PREZES ZARZĄDU
WALTER SCHMIDT CEMENT POLSKA SP Z O O,GAJOWSKI,,ANDRZEJ,RAFAŁ,WICEPREZES ZARZĄDU
PRZETWÓRSTWO TWORZYW SZTUCZNYCH WAŚ JÓZEF I LESZEK WAŚ SPÓŁKA JAWNA,WAŚ,,JÓZEF,,
PRZETWÓRSTWO TWORZYW SZTUCZNYCH WAŚ JÓZEF I LESZEK WAŚ SPÓŁKA JAWNA,WAŚ,,LESZEK,WITOLD,
HARTING POLSKA SP Z O O,HARTING,,DIETMAR,,CZŁONEK ZARZĄDU
HARTING POLSKA SP Z O O,HARTING,,MARGRIT,,CZŁONEK ZARZĄDU
HARTING POLSKA SP Z O O,MATEJCZYK,,MARIUSZ,,CZŁONEK ZARZĄDU
SALUS CENTRUM MEDYCZNE SP Z O O,WOLFSON,,TERESA,MARIA,CZŁONEK ZARZĄDU
SALUS CENTRUM MEDYCZNE SP Z O O,SWANCAR,,AGNIESZKA,JOANNA,WICEPREZES ZARZĄDU
SALUS CENTRUM MEDYCZNE SP Z O O,OGRODNIK ARCINOWSKA,ARCINOWSKA,JOANNA,AGNIESZKA,PREZES ZARZĄDU
PETER LACKE POLSKA SP Z O O,PETER,,DAVID,,CZŁONEK ZARZĄDU
PETER LACKE POLSKA SP Z O O,ZAUCHA,,DANIEL,BOGDAN,PREZES ZARZĄDU
ALKORN SP Z O O,MAZUR,,WOJCIECH,KAZIMIERZ,PREZES ZARZĄDU
LUBATEX SP Z O O,SCHROER,,KONRAD,BERNHARD,VICE PREZES ZARZĄDU
LUBATEX SP Z O O,KUBACKI,,ARKADIUSZ,RAFAŁ,PREZES ZARZĄDU
LUBATEX SP Z O O,LEHOUCK,,ROGER,CAMILLE,VICE PREZES ZARZĄDU
KINDERMAGNET POLSKA SP Z O O,BEKEŠ,,JÁN,,PREZES ZARZĄDU
ROPLA ELEKTRONIK SP Z O O,BREZWAN,,WALDEMAR,,PREZES ZARZĄDU
GERO DAIRY SP Z O O,TIMMERMANS,,ROELOF,JOHAN,PREZES ZARZĄDU
ZAKŁAD ZAOPATRZENIA ROLNICTWA S J MAŁY REKIN SP Z O O,SOŁOGUB,,JANINA,,PREZES ZARZĄDU
ZAKŁAD ZAOPATRZENIA ROLNICTWA S J MAŁY REKIN SP Z O O,TOPOROWSKI,,TOMASZ,,CZŁONEK ZARZĄDU
BARTEK CANDLES MAŁGORZATA I JANUSZ BRYŁKOWSCY SPÓŁKA JAWNA,BRYŁKOWSKA,,MAŁGORZATA,,
BARTEK CANDLES MAŁGORZATA I JANUSZ BRYŁKOWSCY SPÓŁKA JAWNA,BRYŁKOWSKI,,JANUSZ,JÓZEF,
KESSLER POLSKA SP Z O O,KESSLER,,JOHANN,GEORG,PREZES ZARZĄDU
KESSLER POLSKA SP Z O O,KESSLER,,SIEGFRIED,,WICEPREZES ZARZĄDU
CAPRICORN S A,PIEKARZ,,MONIKA,,CZŁONEK ZARZĄDU
CAPRICORN S A,MARCINKOWSKI,,PIOTR,PAWEŁ,CZŁONEK ZARZĄDU
CAPRICORN S A,RUTOWICZ,,DARIUSZ,RYSZARD,PREZES ZARZĄDU
CAPRICORN S A,CUPRIAK,,ANNA,MARIA,CZŁONEK ZARZĄDU
CAPRICORN S A,NAJDA,,TOMASZ,STANISŁAW,CZŁONEK ZARZĄDU
