Firma,Nazwa,Rejestr,Województwo,Numer KRS,Powiat,NIP,Gmina,REGON,Miejscowość,Forma prawna,Adres,Data wpisu do Rejestru Przedsiębiorców,Kod pocztowy,Data wpisu do Rejestru Stowarzyszeń,Adres WWW,Data wykreślenia z Rejestru Przedsiębiorców,Email,Data wykreślenia z Rejestru Stowarzyszeń,Data uprawomocnienia wykreślenia z KRS,Data przyznania statusu OPP,Data zawieszenia działalności,Data wznowienia działalności,Nazwa organu reprezentacji,Sposób reprezentacji,Status OPP,Wpisy dot. postępowania upadłościowego,Nazwa organu wydającego akt prawny,Sygnatura aktu prawnego,Data wydania aktu prawnego,Określenie sposobu prowadzenia postępowania upadłościowego,Data zakończenia postępowania upadłościowego,Sposób zakończenia postępowania upadłościowego
NEWIND SP Z O O,NEWIND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,267353,WROCŁAW,8992585314.0,WROCŁAW,2040647100000.0,WROCŁAW,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,UL. DUŃSKA 11,2006-11-08,54-427, ,WWW.NEWIND.PL,2016-09-14,BIURO@NEWIND.PL,,2016-10-01,,,,,,NIE,NIE,,,,,,
PRZEDSIĘBIORSTWO BUDOWLANO HANDLOWE ARKOP KRZYSZTOF PIANOWSKI I S KA SPÓŁKA JAWNA,"""PRZEDSIĘBIORSTWO BUDOWLANO-HANDLOWE ARKOP KRZYSZTOF PIANOWSKI I S-KA SPÓŁKA JAWNA""",Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,78333,M. WROCŁAW,8970016046.0,M. WROCŁAW,592569400000.0,WROCŁAW,SPÓŁKA JAWNA,JERZMANOWSKA 18,2002-01-07,54-530, ,,2019-07-03,,,2019-07-16,,,,,,NIE,NIE,,,,,,
ZEC SERVICE SP Z O O,ZEC SERVICE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,3844,M. WROCŁAW,8980015410.0,M. WROCŁAW,93006682600000.0,WROCŁAW,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ŁOWIECKA 24,2001-03-28,50-220, ,,,,,,,,,,"DO SKŁADANIA OŚWIADCZEŃ ORAZ PODPISYWANIA W IMIENIU SPÓŁKI UPRAWNIENI SĄ : 
1. SAMODZIELNIE - PREZES ZARZĄDU LUB PROKURENT SAMOISTNY,
2. NA ZASADZIE REPREZENTACJI ŁĄCZNEJ DWUOSOBOWEJ - POZOSTALI CZŁONKOWIE ZARZĄDU ALBO JEDEN CZŁONEK ZARZĄDU ŁĄCZNIE Z PROKURENTEM LUB DWÓCH PROKURENTÓW.",NIE,NIE,,,,,,
PRZEDSIĘBIORSTWO USŁUGOWO PRODUKCYJNE I HANDLOWE COM D SP Z O O,"PRZEDSIĘBIORSTWO USŁUGOWO - PRODUKCYJNE I HANDLOWE ""COM - D"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,19263,JAWORSKI,6950001773.0,JAWOR,39004471300000.0,JAWOR,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PONIATOWSKIEGO 25,2001-06-13,59-400, ,,,,,,,,,,KAŻDY CZŁONEK ZARZĄDU UPOWAŻNIONY JEST DO REPREZENTOWANIA SPÓŁKI NA ZEWNĄTRZ.,NIE,NIE,,,,,,
PRZEDSIĘBIORSTWO WIELOBRANŻOWE AUTO TRUCK SP Z O O,PRZEDSIĘBIORSTWO WIELOBRANŻOWE AUTO - TRUCK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rejestr Przedsiębiorców,ŁÓDZKIE,320166,ŁÓDŹ,8942964446.0,ŁÓDŹ,2087338500000.0,ŁÓDŹ,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,UL. NOWE SADY 87 /3,2008-12-19,94-102, ,,,,,,,,,,DO SKŁADANIA OŚWIADCZEŃ WOLI W SPRAWACH MAJĄTKOWYCH I NIEMAJĄTKOWYCH W IMIENIU SPÓŁKI UPOWAŻNIONY JEST SAMODZIELNIE KAŻDY Z CZŁONKÓW ZARZĄDU.,NIE,NIE,,,,,,
PRO ASCOBLOC SP Z O O,"""PRO ASCOBLOC"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,88669,OLEŚNICKI,6191435610.0,SYCÓW,25065248200000.0,SYCÓW,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,SZARYCH SZEREGÓW 22,2002-02-12,56-500, ,,,,,,,,,,"DO REPREZENTACJI SPÓŁKI, TO JEST DO SKŁADANIA OŚWIADCZEŃ ZAWIERANIA UMÓW UPOWAŻNIONY JEST KAŻDY CZŁONEK ZARZĄDU, A DO SKŁADANIA OŚWIADCZEŃ WOLI, ZAWIERANIA UMÓW W KWOCIE POWYŻEJ 200.000,00 (DWIEŚCIE TYSIĘCY) ZŁOTYCH, ORAZ UMÓW KUPNA - SPRZEDAŻY NIERUCHOMOŚCI KONIECZNE JEST ŁĄCZNE DZIAŁANIE DWÓCH CZŁONKÓW ZARZĄDU O ILE ZARZĄD JEST WIELOOSOBOWY LUB SAMODZIELNIE PREZES ZARZĄDU.",NIE,NIE,,,,,,
ABS BONIFER POLSKA SP Z O O,ABS BONIFER POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rejestr Przedsiębiorców,OPOLSKIE,184162,BRZESKI,9121615981.0,BRZEG,93117464700000.0,BRZEG,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,UL. ROBOTNICZA 16A,2003-12-18,49-300, ,,,,,,,,,,"W PRZYPADKU GDY ZARZĄD JEST JEDNOOSOBOWY CZŁONEK ZARZĄDU JEST UPRAWNIONY DO SAMODZIELNEJ REPREZENTACJI SPÓŁKI. W PRZYPADKU GDY ZARZĄD JEST WIELOOSOBOWY DO SKŁADANIA OŚWIADCZEŃ W IMIENIU SPÓŁKI WYMAGANE JEST:
A). DZIAŁANIE PREZESA ZARZĄDU-SAMODZIELNIE LUB
B). WSPÓŁDZIAŁANIE DWÓCH CZŁONKÓW ZARZĄDU ALBO JEDNEGO CZŁONKA ZARZĄDU ŁĄCZNIE Z PROKURENTEM",NIE,NIE,,,,,,
ENDRESS + HAUSER POLSKA SP Z O O,"""ENDRESS + HAUSER POLSKA"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,118795,M. WROCŁAW,5211021786.0,M. WROCŁAW,1121392500000.0,WROCŁAW,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,WOŁOWSKA 11,2002-06-24,51-116, ,,,,,,,,,,KAŻDY Z CZŁONKÓW ZARZĄDU SAMODZIELNIE,NIE,NIE,,,,,,
VOESTALPINE ROTEC SP Z O O,"""VOESTALPINE ROTEC"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,15131,ŚREDZKI,9131476541.0,ŚRODA ŚLĄSKA,93212615900000.0,KOMORNIKI,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,POLNA 7,2001-06-08,55-300, ,,,,,,,,,,"DO SKŁADANIA OŚWIADCZEŃ W ZAKRESIE PRAW I OBOWIĄZKÓW MAJĄTKOWYCH SPÓŁKI ORAZ DO PODPISYWANIA W IMIENIU SPÓŁKI UPRAWNIONY JEST KAŻDY CZŁONEK ZARZĄDU SAMODZIELNIE.
PROKURENT UPRAWNIONY JEST DO SAMODZIELNEJ REPREZENTACJI SPÓŁKI.",NIE,NIE,,,,,,
INTEGART SP Z O O,INTEGART SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,493655,ŚREDZKI,9131616456.0,MIĘKINIA,2232589000000.0,BŁONIE,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MASZYNOWA 1,2014-01-09,55-330, ,,,,,,,,,,"JEŻELI ZARZĄD SPÓŁKI JEST WIELOOSOBOWY, DO SKŁADANIA OŚWIADCZEŃ I PODPISYWANIA PISM W IMIENIU SPÓŁKI UPRAWNIONY JEST PREZES ZARZĄDU SAMODZIELNIE, CZŁONEK ZARZĄDU ŁĄCZNIE Z PROKURENTEM LUB DWÓCH PROKURENTÓW ŁĄCZNIE.",NIE,NIE,,,,,,
T & P POLSKA SP Z O O,ZWIĄZEK ZAWODOWY PRACOWNIKÓW T & P POLSKA SP. Z O. O.,Rejestr Stowarzyszeń,DOLNOŚLĄSKIE,306824,ŚWIDNICKI,,ŻARÓW,,ŻARÓW,ZWIĄZEK ZAWODOWY,PRZEMYSŁOWA 11,,58-130,2008-05-28 ,,,,,,,,,,"DO SKŁADANIA OŚWIADCZEŃ WOLI W SPRAWACH MAJĄTKOWYCH I NIEMAJĄTKOWYCH UPOWAŻNIENI SĄ PRZEWODNICZĄCY ZARZĄDU GŁÓWNEGO I SKARBNIK ZARZĄDU GŁÓWNEGO DZIAŁAJĄCY ŁĄCZNIE.
W SPRAWACH PRZEKRACZAJĄCYCH ZWYKŁY ZAKRES ZARZĄDZANIA MAJĄTKIEM ZWIĄZKU, A ZWŁASZCZA W SPRAWACH NABYWANIA, ZBYWANIA I PRZEKAZYWANIA TRWAŁYCH ŚRODKÓW MAJĄTKOWYCH ZWIĄZKU, WYMAGANA JEST UCHWAŁA WALNEGO ZEBRANIA LUB NADZWYCZAJNEGO WALNEGO ZEBRANIA DELEGATÓW.",NIE,NIE,,,,,,
VIESSMANN TECHNIKA GRZEWCZA SP Z O O,VIESSMANN TECHNIKA GRZEWCZA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,131760,M. LEGNICA,6912043634.0,M. LEGNICA,39068711500000.0,LEGNICA,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,JAWORZYŃSKA -LEGNICKA SPECJALNA STREFA EKONOMICZNA 289,2002-11-15,59-220, ,,,,,,,,,,"JEŻELI ZARZĄD JEST JEDNOOSOBOWY, CZŁONEK ZARZĄDU UPRAWNIONY JEST DO SAMODZIELNEJ REPREZENTACJI SPÓŁKI. JEŻELI ZARZĄD JEST WIELOOSOBOWY DO SKŁADANIA OŚWIADCZEŃ W IMIENIU SPÓŁKI WYMAGANE JEST WSPÓŁDZIAŁANIE DWÓCH CZŁONKÓW ZARZĄDU ALBO JEDNEGO CZŁONKA ZARZĄDU ŁĄCZNIE Z PROKURENTEM.",NIE,NIE,,,,,,
DOLNOŚLĄSKA GRUPA APTECZNA S A,"""DOLNOŚLĄSKA GRUPA APTECZNA"" SPÓŁKA AKCYJNA",Rejestr Przedsiębiorców,ŚLĄSKIE,402636,BIERUŃSKO-LĘDZIŃSKI,8992424491.0,BIERUŃ,93269205400000.0,BIERUŃ,SPÓŁKA AKCYJNA,UL. CHEMIKÓW 3,2011-11-24,43-150, ,HTTP://DGASA.PL,,,,,,,,,W PRZYPADKU ZARZĄDU WIELOOSOBOWEGO DO SKŁADANIA OŚWIADCZEŃ W IMIENIU SPÓŁKI WYMAGANE JEST DZIAŁANIE DWÓCH CZŁONKÓW ZARZĄDU ŁĄCZNIE ALBO CZŁONKA ZARZĄDU ŁĄCZNIE Z PROKURENTEM. W PRZYPADKU ZARZĄDU JEDNOOSOBOWEGO SPÓŁKĘ REPREZENTUJE JEDYNY CZŁONEK ZARZĄDU SAMODZIELNIE.,NIE,NIE,,,,,,
KRAJOWY REJESTR DŁUGÓW BIURO INFORMACJI GOSPODARCZEJ S A,"""KRAJOWY REJESTR DŁUGÓW BIURO INFORMACJI GOSPODARCZEJ"" SPÓŁKA AKCYJNA",Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,169851,WROCŁAW,8951794707.0,WROCŁAW,93291331900000.0,WROCŁAW,SPÓŁKA AKCYJNA,UL. DANUTY SIEDZIKÓWNY 12,2003-08-07,51-214, ,KRD.PL,,,,,,,,,"DO SKŁADANIA OŚWIADCZEŃ W IMIENIU SPÓŁKI W ZAKRESIE ROZPORZĄDZENIA PRAWEM LUB ZACIĄGNIĘCIA ZOBOWIĄZANIA UPRAWNIENI SĄ: PREZES ZARZĄDU - SAMODZIELNIE, CZŁONKOWIE ZARZĄDU DO KWOTY NIE PRZEKRACZAJĄCEJ 20.000,00 (DWADZIEŚCIA TYSIĘCY) ZŁOTYCH KAŻDY CZŁONEK ZARZĄDU SAMODZIELNIE. POWYŻEJ TEJ KWOTY WYMAGANA JEST REPREZENTACJA ŁĄCZNA DWÓCH CZŁONKÓW ZARZĄDU.",NIE,NIE,,,,,,
ZAKŁADY CHEMICZNE ZŁOTNIKI S A,"ZAKŁADY CHEMICZNE ""ZŁOTNIKI"" SPÓŁKA AKCYJNA",Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,36051,M. WROCŁAW,8940027275.0,M. WROCŁAW,93111621300000.0,WROCŁAW,SPÓŁKA AKCYJNA,ŻWIROWA 73,2001-09-20,54-029, ,WWW.ZLOTNIKI.COM.PL,,,,,,,,,DO SKŁADANIA OŚWIADCZEŃ I PODPISYWANIA W IMIENIU SPÓŁKI UPRAWNIONY JEST PREZES ZARZĄDU SAMODZIELNIE ALBO DWÓCH CZŁONKÓW ZARZĄDU ŁĄCZNIE ALBO TEŻ JEDEN CZŁONEK ZARZĄDU ŁĄCZNIE Z PROKURENTEM.,NIE,NIE,,,,,,
INDUSTRIE MAURIZIO PERUZZO COMFORT SP Z O O,INDUSTRIE MAURIZIO PERUZZO COMFORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,88124,ŚWIDNICKI,5470048685.0,ŚWIDNICA,7001107000000.0,ŚWIDNICA,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,INŻYNIERSKA 15-17,2002-02-05,58-100, ,WWW.COMFORT.PL,,SWIDNICA@COMFORT.PL,,,,,,,"W PRZYPADKU ZARZĄDU JEDNOOSOBOWEGO DO SKŁADANIA OŚWIADCZEŃ WOLI ORAZ PODPISYWANIA W IMIENIU SPÓŁKI UPOWAŻNIONY JEST PREZES ZARZĄDU - JEDNOOSOBOWO, W PRZYPADKU ZARZĄDU WIELOOSOBOWEGO DO SKŁADANIA OŚWIADCZEŃ WOLI ORAZ PODPISYWANIA W IMIENIU SPÓŁKI UPOWAŻNIONY JEST PREZES ZARZĄDU BADŹ KAŻDY Z WICEPREZESÓW - JEDNOOSOBOWO.",NIE,NIE,,,,,,
WAGO ELWAG SP Z O O,WAGO ELWAG SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,69966,M. WROCŁAW,8961025689.0,M. WROCŁAW,93096904300000.0,WROCŁAW,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PIĘKNA 58A,2001-12-07,50-506, ,,,,,,,,,,W PRZYPADKU KIEDY ZARZĄD JEST WIELOOSOBOWY DO SKŁADANIA OŚWIADCZEŃ W IMIENIU SPÓŁKI WYMAGANE JEST WSPÓŁDZIAŁANIE DWÓCH CZŁONKÓW ZARZĄDU ALBO JEDNEGO CZŁONKA ZARZĄDU ŁĄCZNIE Z PROKURENTEM,NIE,NIE,,,,,,
GLOBAL COSMED GROUP S A,GLOBAL COSMED GROUP SPÓŁKA AKCYJNA,Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,41414,JAWORSKI,6950002732.0,JAWOR,39033966700000.0,JAWOR,SPÓŁKA AKCYJNA,KUZIENNICZA 15,2001-10-11,59-400, ,WWW.GLOBALCOSMED.EU,,BOARD.OFFICE@GLOBALCOSMED.EU,,,,,,,DO SKŁADANIA OŚWADCZEŃ WOLI W IMIENIU SPÓŁKI WYMAGANE JEST WSPÓŁDZIAŁANIE DWÓCH CZŁONKÓW ZARZĄDU BĄDŹ CZŁONKA ZARZĄDU WRAZ Z PROKURENTEM.,NIE,NIE,,,,,,
TELFORCEONE S A,TELFORCEONE SPÓŁKA AKCYJNA,Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,232137,M. WROCŁAW,8981967851.0,M. WROCŁAW,93267437500000.0,WROCŁAW,SPÓŁKA AKCYJNA,KRAKOWSKA 119,2005-04-12,50-428, ,WWW.TELFORCEONE.PL,,INFO@TELFORCEONE.COM,,,,,,,"A. GDY ZARZĄD JEST JEDNOOSOBOWY - PREZES ZARZĄDU SAMODZIELNIE,
B. GDY ZARZĄD JEST WIELOOSOBOWY - KAŻDY CZŁONEK ZARZĄDU SAMODZIELNIE",NIE,NIE,,,,,,
ZEHNDER GROUP BOLESŁAWIEC SP Z O O,"""ZEHNDER GROUP BOLESŁAWIEC""-SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",Rejestr Przedsiębiorców,DOLNOŚLĄSKIE,75844,BOLESŁAWIECKI,6121437650.0,BOLESŁAWIEC,23039614900000.0,BOLESŁAWIEC,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MODŁOWA 5,2002-01-07,59-700, ,,,,,,,,,,"JEŻELI ZARZĄD JEST JEDNOOSOBOWY, OSOBA TA PROWADZI INTERESY I REPREZENTUJE SPÓŁKĘ NA ZEWNĄTRZ. JEŻELI ZARZĄD JEST WIELOOSOBOWY, TO SPÓŁKA BĘDZIE REPREZENTOWANA NA ZEWNĄTRZ PRZEZ DWÓCH WSPÓŁDZIAŁAJĄCYCH CZŁONKÓW ZARZĄDU, PRZEZ JEDNEGO CZŁONKA ZARZĄDU WRAZ Z JEDNYM PROKURENTEM LUB PRZEZ DWÓCH WSPÓŁDZIAŁAJĄCYCH PROKURENTÓW.",NIE,NIE,,,,,,
